suite,method,bounded,lr,count,dice,condition,min_singular_value,max_singular_value,nonpositive_determinants,extreme_scale_runs,dice_change_from_rigid,dice_worse_than_rigid,seconds,loss_value,tre_mean_mm,tre_median_mm,tre_worse_than_rigid,tre_max_mm
brains_masked,matrix,True,0.03,3,0.9611279317967677,1.0972987810770671,0.9612005949020386,1.1548537015914917,0,0,0.015068791616090427,0,1.0387954893521965,-0.5631540218989054,5.21578009297233,2.8945014591249847,0,7.711221598093756
brains_masked,polar,True,0.03,3,0.9610775497522038,1.0961238940556843,0.9612762928009033,1.1524896621704102,0,0,0.01501840957152667,0,1.5649687837188442,-0.563139945268631,5.215082252470184,2.892016561753916,0,7.709392123020795
brains_masked,matrix,True,0.1,3,0.9623422652268271,1.1042449474334717,0.9629319310188293,1.1651486158370972,0,0,0.016283125046149743,0,1.0218487894162536,-0.5526798268159231,5.33769804577411,2.8435302580233355,1,7.6857977117251455
brains_masked,polar,True,0.1,3,0.9622589288353639,1.1023021539052327,0.9556140899658203,1.1527427434921265,0,0,0.01619978865468663,0,1.5482274550013244,-0.5529563724994659,5.268382466852881,2.8907465967571095,0,7.590691059363937
brains_native,identity,False,0.0,3,0.8964346663124964,1.0,1.0,1.0,0,0,-0.05108291986183211,2,,,10.738232747716495,10.852051503061638,1,19.006610177156197
brains_native,rigid,False,0.0,3,0.9475175861743285,1.0,1.0,1.0,0,0,0.0,0,3.276415848017981,,5.529522062002478,2.9623733571075075,0,8.166459751516742
brains_native,matrix,False,0.001,3,0.9437559943770942,1.0831175247828166,0.9144333004951477,1.0532011985778809,0,0,-0.0037615917972342685,1,2.616913008969277,-0.6509977579116821,5.360177247760618,2.832443464293143,0,7.991597987124166
brains_native,polar,False,0.001,3,0.9532045553321614,1.068671464920044,0.9609106183052063,1.065184235572815,0,0,0.005686969157832992,0,3.2223650506542376,-0.6487168868382772,5.3599450462182725,2.832438593238839,0,7.990637400067836
brains_native,matrix,False,0.003,3,0.859109431024299,1.1858381032943726,0.6679728031158447,1.0341112613677979,0,0,-0.08840815515002927,1,2.60692964727059,-0.6657438278198242,5.3605553295311035,2.8320325291233743,0,7.991922182494547
brains_native,polar,False,0.003,3,0.8762810993726543,1.1453311840693157,0.7291613817214966,1.0340816974639893,0,0,-0.07123648680167409,1,3.120613425892467,-0.661833663781484,5.3606818843531965,2.83304227245542,0,7.991408543570745
brains_native,matrix,False,0.01,3,0.756615823997057,2.4461154540379844,0.08526971936225891,1.0340975522994995,0,1,-0.19090176217727142,1,2.585626653938865,-0.736521045366923,5.360162062258742,2.83339294268385,0,7.99055249055721
brains_native,polar,False,0.01,3,0.7641354656271857,1.2155758142471313,0.3657524287700653,1.0341907739639282,0,1,-0.18338212054714273,1,3.2080794633366168,-0.7135571241378784,5.3606281700965495,2.8330208109132426,0,7.99328617359171
brains_native,matrix,False,0.03,3,0.328806255164116,13.013535857200623,0.005221786443144083,0.16270339488983154,2,3,-0.6187113310102124,3,2.6464620999371014,-0.9878570040067037,60.31933638846844,60.38155405377575,2,78.1879905953345
brains_native,polar,False,0.03,3,0.3288933709311505,2.156321366628011,0.06680283695459366,0.21365879476070404,0,3,-0.6186242152431779,3,3.359605422398696,-0.9771311283111572,50.44300721325497,48.19618788901181,2,57.93799257322214
brains_native,matrix,False,0.1,3,0.328806255164116,114.69710397720337,0.0004500830837059766,0.147044837474823,1,3,-0.6187113310102124,3,2.647454872339343,-0.9882641832033793,74.45062313652889,72.00212618284947,2,97.14249510835121
brains_native,polar,False,0.1,3,0.3342969165259649,3.175192356109619,0.00495612109079957,0.022553090006113052,0,3,-0.6132206696483634,3,3.34870984707959,-0.9889086286226908,78.07296880317321,78.39531753909574,2,82.09828443020518
